problem_idx,generation_accuracy,selection_accuracy,selection_precision,selection_recall,selection_f1,selection_tp,selection_tn,selection_fp,selection_fn,insufficient_data
0,0.84,1,1.0,1.0,1.0,1,0,0,0,False
1,0.94,1,1.0,1.0,1.0,1,0,0,0,False
2,0.99,1,1.0,1.0,1.0,1,0,0,0,False
3,1.0,1,1.0,1.0,1.0,1,0,0,0,False
4,0.96,1,1.0,1.0,1.0,1,0,0,0,False
5,0.9,1,1.0,1.0,1.0,1,0,0,0,False
6,0.87,1,1.0,1.0,1.0,1,0,0,0,False
7,0.83,1,1.0,1.0,1.0,1,0,0,0,False
8,1.0,1,1.0,1.0,1.0,1,0,0,0,False
9,0.78,1,1.0,1.0,1.0,1,0,0,0,False
10,1.0,1,1.0,1.0,1.0,1,0,0,0,False
11,0.98,0,0.0,0.0,0.0,0,0,1,1,False
12,1.0,1,1.0,1.0,1.0,1,0,0,0,False
13,0.94,1,1.0,1.0,1.0,1,0,0,0,False
14,0.97,1,1.0,1.0,1.0,1,0,0,0,False
15,0.84,1,1.0,1.0,1.0,1,0,0,0,False
16,0.97,0,0.0,0.0,0.0,0,0,1,1,False
17,0.8,1,1.0,1.0,1.0,1,0,0,0,False
18,1.0,1,1.0,1.0,1.0,1,0,0,0,False
19,0.88,1,1.0,1.0,1.0,1,0,0,0,False
20,0.72,1,1.0,1.0,1.0,1,0,0,0,False
21,0.73,1,1.0,1.0,1.0,1,0,0,0,False
22,1.0,1,1.0,1.0,1.0,1,0,0,0,False
23,0.93,1,1.0,1.0,1.0,1,0,0,0,False
24,1.0,1,1.0,1.0,1.0,1,0,0,0,False
25,0.7,0,0.0,0.0,0.0,0,0,1,1,False
26,0.97,0,0.0,0.0,0.0,0,0,1,1,False
27,0.82,1,1.0,1.0,1.0,1,0,0,0,False
28,0.78,1,1.0,1.0,1.0,1,0,0,0,False
29,0.97,1,1.0,1.0,1.0,1,0,0,0,False
30,0.99,1,1.0,1.0,1.0,1,0,0,0,False
31,0.85,0,0.0,0.0,0.0,0,0,1,1,False
32,1.0,1,1.0,1.0,1.0,1,0,0,0,False
33,0.99,1,1.0,1.0,1.0,1,0,0,0,False
34,0.96,0,0.0,0.0,0.0,0,0,1,1,False
35,1.0,1,1.0,1.0,1.0,1,0,0,0,False
36,0.93,0,0.0,0.0,0.0,0,0,1,1,False
37,1.0,1,1.0,1.0,1.0,1,0,0,0,False
38,0.85,1,1.0,1.0,1.0,1,0,0,0,False
39,1.0,1,1.0,1.0,1.0,1,0,0,0,False
40,0.99,0,0.0,0.0,0.0,0,0,1,1,False
41,1.0,0,0.0,0.0,0.0,0,1,1,0,False
42,1.0,0,0.0,0.0,0.0,0,1,1,0,True
43,0.81,1,1.0,1.0,1.0,1,0,0,0,False
44,0.93,1,1.0,1.0,1.0,1,0,0,0,False
45,0.95,0,0.0,0.0,0.0,0,0,1,1,False
46,0.98,0,0.0,0.0,0.0,0,0,1,1,False
47,0.82,1,1.0,1.0,1.0,1,0,0,0,False
48,0.84,0,0.0,0.0,0.0,0,0,1,1,False
49,0.88,1,1.0,1.0,1.0,1,0,0,0,False
50,0.91,0,0.0,0.0,0.0,0,0,1,1,False
51,0.87,1,1.0,1.0,1.0,1,0,0,0,False
52,0.99,0,0.0,0.0,0.0,0,0,1,1,False
53,1.0,0,0.0,0.0,0.0,0,1,1,0,False
