feature,importance
judge_qwen2.5-72b-instruct-turbo_verdicts,0.17442055425495856
judge_gpt-4o_verdicts,0.10838971659191628
internlm_scores,0.09460344049934016
urm_scores,0.06913282698639683
judge_claude-3-5-sonnet-latest_verdicts,0.06638867991587677
armor_rm_correctness,0.049207342730506476
offset_bias_scores,0.0418436868574182
armor_rm_coherence,0.041130180174456445
armor_rm_verbosity,0.03806977039231746
qrm_scores,0.03429943026248167
armor_rm_helpfulness,0.032727714576601036
armor_rm_score,0.031203153483080746
grm_llama32_scores,0.03055839679505391
judge_llama-3.3-70b-instruct-turbo_verdicts,0.0293940444702866
armor_rm_complexity,0.024437075383678324
gpm_scores,0.02420913191896716
grm_gemma_scores,0.023912825997628975
skyworks_scores,0.023685147496194194
grm_scores,0.021333285801384393
judge_qwen2-72b-instruct_verdicts,0.02069972925496871
judge_meta-llama-3.1-405b-instruct-turbo_verdicts,0.014810125208275467
judge_gemma-2-27b-it_verdicts,0.002905371144813472
judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts,0.002635876545163193
judge_llama-3.1-nemotron-70b-instruct-hf_verdicts,2.49325823511515e-06
judge_qwq-32b-preview_verdicts,0.0
