feature,importance
judge_llama-3.3-70b-instruct-turbo_verdicts,0.2487863674496419
judge_claude-3-5-sonnet-latest_verdicts,0.18754056478385983
judge_qwen2.5-72b-instruct-turbo_verdicts,0.07911980334812103
judge_gpt-4o_verdicts,0.07490896274962391
judge_meta-llama-3.1-405b-instruct-turbo_verdicts,0.04608681023416363
grm_gemma_scores,0.03320222550994785
offset_bias_scores,0.030918516258378208
grm_llama32_scores,0.028976214915966622
urm_scores,0.025701499803303905
judge_qwen2-72b-instruct_verdicts,0.025225903756489487
internlm_scores,0.021389784599833383
armor_rm_verbosity,0.02134648580020558
qrm_scores,0.019088425232606544
gpm_scores,0.01857159695357554
skyworks_scores,0.018196898188595396
armor_rm_complexity,0.018030477736526968
armor_rm_score,0.017947325524206595
grm_scores,0.017060392092821584
armor_rm_helpfulness,0.01597009782215138
armor_rm_coherence,0.014287740997013947
armor_rm_correctness,0.0137938179237307
judge_llama-3.1-nemotron-70b-instruct-hf_verdicts,0.011573695718929647
judge_gemma-2-27b-it_verdicts,0.011294493872081065
judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts,0.0009818987282254512
judge_qwq-32b-preview_verdicts,0.0
judge_wizardlm-2-8x22b_verdicts,0.0
judge_mixtral-8x22b-instruct-v0.1_verdicts,0.0
